eff_percent,eff_unc_percent,tTH_used,PMT1_min,PMT1_max,PMT2_min,PMT2_max,PMT3_min,PMT3_max,PMT4_min,PMT4_max,Thick_min,Thick_max,TopThin_min,TopThin_max,BotThin_min,BotThin_max,passing_events,detected_events,case_name
99.93,0.04,NaN,94,103,101,120,146,180,95,107,NaN,NaN,200,3000,NaN,NaN,4301,4298,Nothing -> Top thin
100,0,4,94,103,101,120,146,180,95,107,5,40,200,3000,NaN,NaN,2935,2935,PMT+Thick -> Top thin
96.59,0.33,4,94,103,101,120,146,180,95,107,5,40,NaN,NaN,4600,20000,2935,2835,PMT+Thick -> Bottom thin
99.93,0.04,4,94,103,101,120,146,180,95,107,NaN,NaN,200,3000,NaN,NaN,4281,4278,PMT time and charge -> Top thin
99.62,0.05,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,3000,NaN,NaN,15366,15307,PMT time -> Top thin
90.93,0.23,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4600,20000,15366,13972,PMT time -> Bottom thin
94.81,0.34,4,94,103,101,120,146,180,95,107,NaN,NaN,NaN,NaN,4600,20000,4281,4059,PMT -> Bottom thin
100,0,4,94,103,101,120,146,180,95,107,5,40,200,3000,4600,20000,2835,2835,PMT+Thick+Bottom thin -> Top thin
96.59,0.33,4,94,103,101,120,146,180,95,107,5,40,200,3000,4600,20000,2935,2835,PMT+Thick+Top thin -> Bottom thin
69.84,0.72,4,94,103,101,120,146,180,95,107,5,40,200,3000,4600,20000,4059,2835,PMT time & charge & Thin top & bottom -> Thick
